Severity,Start_Time,Weather_Condition,Visibility(mi),Temperature(F),Humidity(%),Pressure(in),Wind_Speed(mph),State,End_Time
3,2022-07-17 10:54:00,Smoke,8.9,75.8,21.8,30.73,23.2,GA,2022-07-17 12:20:00
4,2022-10-20 18:54:00,Clear,6.6,64.1,37.5,28.31,9.6,IL,2022-10-20 19:13:00
1,2022-05-08 02:43:00,Snow,6.8,55.6,28.6,28.84,5.3,TX,2022-05-08 02:51:00
3,2022-04-15 13:35:00,Rain,0.3,75.2,82.8,29.61,18.9,GA,2022-04-15 15:14:00
3,2022-03-29 02:38:00,Haze,9.9,96.3,29.0,30.09,2.7,IL,2022-03-29 03:18:00
4,2022-07-03 16:48:00,Smoke,8.8,32.9,77.9,29.89,29.1,IL,2022-07-03 17:24:00
1,2022-05-15 07:12:00,Haze,9.0,94.3,50.9,30.82,19.0,OH,2022-05-15 07:45:00
1,2022-10-11 12:48:00,Snow,6.7,72.6,25.9,30.39,29.6,PA,2022-10-11 13:10:00
3,2022-03-12 23:59:00,Fog,3.6,86.5,85.0,29.67,10.2,FL,2022-03-13 01:38:00
2,2022-08-18 06:50:00,Clear,9.0,56.9,66.4,28.64,29.1,OH,2022-08-18 07:08:00
3,2022-03-26 11:48:00,Haze,3.1,63.0,38.9,29.35,4.4,CA,2022-03-26 13:19:00
3,2022-10-18 18:54:00,Thunderstorm,5.7,90.8,91.6,30.08,1.2,NY,2022-10-18 20:33:00
3,2022-05-07 08:28:00,Fog,1.2,59.0,23.6,30.51,1.0,NY,2022-05-07 10:27:00
3,2022-12-04 06:22:00,Clear,9.2,67.4,36.1,30.88,13.9,PA,2022-12-04 07:36:00
4,2022-08-07 02:23:00,Smoke,1.6,31.4,80.2,29.82,2.5,PA,2022-08-07 02:39:00
1,2022-04-20 20:15:00,Smoke,2.4,41.1,76.8,29.58,15.4,MI,2022-04-20 21:35:00
4,2022-06-23 12:37:00,Smoke,5.7,74.9,43.1,28.05,9.8,GA,2022-06-23 13:36:00
4,2022-04-06 01:57:00,Snow,7.7,80.2,25.0,28.22,10.1,CA,2022-04-06 02:06:00
4,2022-06-01 05:30:00,Haze,6.3,70.8,88.6,28.47,19.1,OH,2022-06-01 05:38:00
3,2022-08-25 04:13:00,Smoke,2.5,40.0,45.1,28.16,4.9,NY,2022-08-25 04:29:00
2,2022-08-06 13:35:00,Cloudy,0.2,61.2,35.7,29.2,23.0,PA,2022-08-06 14:07:00
1,2022-02-04 14:47:00,Smoke,7.6,54.9,61.3,29.01,17.5,MI,2022-02-04 15:21:00
2,2022-02-10 17:33:00,Rain,9.9,64.7,92.8,29.91,27.4,NC,2022-02-10 18:42:00
4,2022-08-10 08:46:00,Snow,8.1,90.9,23.5,29.61,10.9,FL,2022-08-10 10:08:00
4,2022-07-21 08:34:00,Clear,4.7,84.3,81.3,29.79,29.5,GA,2022-07-21 08:42:00
2,2022-02-24 01:22:00,Clear,9.1,35.9,65.8,29.42,17.3,FL,2022-02-24 02:38:00
2,2022-07-09 08:07:00,Clear,4.2,92.3,54.0,28.83,29.2,PA,2022-07-09 08:37:00
2,2022-02-28 20:41:00,Clear,5.3,63.0,79.5,30.86,0.8,TX,2022-02-28 22:17:00
4,2022-10-26 17:52:00,Rain,4.9,82.1,97.3,28.26,21.8,NC,2022-10-26 19:20:00
4,2022-12-25 18:37:00,Fog,4.6,39.8,38.3,30.82,24.5,TX,2022-12-25 20:11:00
1,2022-08-17 07:28:00,Thunderstorm,7.8,77.0,31.5,28.93,1.6,IL,2022-08-17 08:42:00
1,2022-10-07 20:20:00,Cloudy,5.4,46.5,93.0,29.54,17.4,PA,2022-10-07 21:18:00
4,2022-03-25 13:56:00,Rain,3.3,60.7,73.5,28.33,24.1,NY,2022-03-25 14:29:00
2,2022-05-31 20:28:00,Clear,2.7,31.2,55.0,28.21,16.8,OH,2022-05-31 21:30:00
2,2022-01-30 16:07:00,Rain,0.6,40.6,65.9,29.29,1.9,OH,2022-01-30 17:27:00
1,2022-08-25 12:55:00,Snow,5.9,36.4,79.6,30.23,20.8,OH,2022-08-25 13:35:00
4,2022-10-06 03:11:00,Thunderstorm,2.5,46.8,81.8,28.81,1.8,OH,2022-10-06 04:59:00
1,2022-10-29 15:36:00,Clear,1.7,37.0,93.6,29.69,24.5,MI,2022-10-29 17:32:00
1,2022-01-08 21:50:00,Cloudy,6.6,78.4,54.1,28.84,1.3,MI,2022-01-08 21:55:00
3,2022-09-05 20:18:00,Clear,6.9,32.0,43.5,29.17,4.1,NC,2022-09-05 22:00:00
